title,source,author,published_at,content_length,description_length,collection_date
Sumitomo Mitsui Doubles Down On India With Plan To Buy Stake In Yes Bank For $1.6 Billion,Forbes,"Jonathan Burgos, Forbes Staff, 
 Jonathan Burgos, Forbes Staff
 https://www.forbes.com/sites/jonathanburgos/",2025-05-10T13:33:21Z,214,217,2025-05-11 18:35:01
Parents outraged by trans film for kids at Museum of Natural History: ‘Should be off-limits’,New York Post,Doree Lewak,2025-05-10T13:33:09Z,214,221,2025-05-11 18:35:01
Measles outbreak in North Dakota prompts local health officials to quarantine unvaccinated schoolchildren - NewsBreak,Newsbreak.com,Deidre Mcphillips,2025-05-10T13:32:42Z,213,155,2025-05-11 18:35:01
"John Mulaney, Rock Hall of Fame Enthusiast, Breaks Down This Year’s Class — and Snubs!",Rolling Stone,Jason Newman,2025-05-10T13:32:15Z,215,150,2025-05-11 18:35:01
Tariffs could take the bloom off Mother’s Day flowers | CNN Business,CNN,Nayeli Jaramillo-Plata,2025-05-10T13:30:50Z,214,203,2025-05-11 18:35:01
"As reading scores fall, states turn to phonics — but not without a fight",Boston Herald,Tribune News Service,2025-05-10T13:30:44Z,214,89,2025-05-11 18:35:01
I’m A Psychologist Who Studies Couples — These 3 Habits Separate Strong Relationships From The Rest,Forbes,"Mark Travers, Contributor, 
 Mark Travers, Contributor
 https://www.forbes.com/sites/traversmark/",2025-05-10T13:30:17Z,214,153,2025-05-11 18:35:01
Saudi Arabia Eschews Formal BRICS Membership To Avoid Antagonizing US: Report,The Daily Hodl,Mehron Rokhy,2025-05-10T13:30:11Z,214,260,2025-05-11 18:35:01
Tonic Greens Complaints Investigated: 2025 User Reviews Tested & Verified,GlobeNewswire,TonicGreens,2025-05-10T13:30:00Z,215,260,2025-05-11 18:35:01
What Google’s largest-ever acquisition of an Israeli software company tells us about Big Tech’s complicity in genocide,Mondoweiss,Refaat Ibrahim,2025-05-10T13:30:00Z,214,217,2025-05-11 18:35:01
The Bananas We Eat Every Day Might Be Going Extinct — A Biologist Highlights An Impending Disaster,Forbes,"Scott Travers, Contributor, 
 Scott Travers, Contributor
 https://www.forbes.com/sites/scotttravers/",2025-05-10T13:30:00Z,214,106,2025-05-11 18:35:01
Your craving for sugar or caffeine and what it reveals of how you cope with stress,CNA,,2025-05-10T13:30:00Z,214,187,2025-05-11 18:35:01
AOC Warns Republicans Are ‘Robbing People’ to Pay for Billionaire Tax Cuts,Rolling Stone,Andrew Perez,2025-05-10T13:30:00Z,214,148,2025-05-11 18:35:01
State of Crypto: Mapping Out the Senate Stablecoin Bill's Next Steps,CoinDesk,Nikhilesh De,2025-05-10T13:30:00Z,214,84,2025-05-11 18:35:01
